ratio,ML_min,OSRM_min,km,od_pair,hist_spd,hour,src_lat,src_lng,dst_lat,dst_lng,new_XGB_min,new_RF_min,new_hist_level,new_ratio_XGB,change_XGB_min,change_XGB_pct,still_divergent_XGB,new_ratio_RF,change_RF_min,change_RF_pct,still_divergent_RF
3.1,26.3,8.5,4.31,7_7,16.9,06:15,23.7702,90.40846,23.75876,90.42953,16.9,12.2,od_pair+period,1.99,-9.4,-35.7,False,1.44,-14.1,-53.6,False
3.1,21.8,7.1,3.53,7_7,16.9,06:15,23.75876,90.42953,23.7371,90.43336,15.4,13.1,od_pair+period,2.17,-6.4,-29.4,True,1.85,-8.7,-39.9,False
3.1,6.3,2.0,1.09,7_7,20.4,05:00,23.76371,90.38374,23.75575,90.38268,4.1,4.2,od_pair+period,2.05,-2.2,-34.9,True,2.1,-2.1,-33.3,True
3.1,12.0,3.9,1.83,7_7,16.9,06:15,23.7702,90.40846,23.77687,90.41231,6.9,6.4,od_pair+period,1.77,-5.1,-42.5,False,1.64,-5.6,-46.7,False
3.1,8.0,2.6,1.63,7_7,20.4,05:00,23.86482,90.40383,23.86806,90.40014,4.6,4.6,od_pair+period,1.77,-3.4,-42.5,False,1.77,-3.4,-42.5,False
3.1,48.1,15.7,9.99,7_7,16.9,06:00,23.81337,90.37603,23.78447,90.39753,33.2,28.0,od_pair+period,2.11,-14.9,-31.0,True,1.78,-20.1,-41.8,False
3.1,7.8,2.5,1.34,7_7,19.5,22:00,23.75684,90.41244,23.74869,90.40804,6.8,5.0,od_pair+period,2.72,-1.0,-12.8,True,2.0,-2.8,-35.9,True
3.1,7.4,2.4,1.16,7_7,20.4,05:00,23.78146,90.4255,23.78084,90.42116,4.7,4.6,od_pair+period,1.96,-2.7,-36.5,False,1.92,-2.8,-37.8,False
3.0,8.4,2.7,1.21,7_7,16.9,06:15,23.78925,90.36656,23.79672,90.36535,3.9,3.4,od_pair_only,1.44,-4.5,-53.6,False,1.26,-5.0,-59.5,False
3.0,7.9,2.6,1.11,7_7,20.4,05:00,23.72309,90.39257,23.72415,90.39592,4.5,4.5,od_pair+period,1.73,-3.4,-43.0,False,1.73,-3.4,-43.0,False
3.0,19.9,6.5,3.62,7_7,16.9,06:15,23.75187,90.36512,23.72627,90.37663,18.6,14.9,od_pair_only,2.86,-1.3,-6.5,True,2.29,-5.0,-25.1,True
3.0,7.2,2.4,1.13,7_7,20.4,05:00,23.79129,90.37719,23.78809,90.37592,4.5,5.3,od_pair+period,1.88,-2.7,-37.5,False,2.21,-1.9,-26.4,True
3.0,22.7,7.6,5.54,7_7,16.9,06:15,23.83018,90.42156,23.81698,90.43911,14.8,11.6,od_pair+period,1.95,-7.9,-34.8,False,1.53,-11.1,-48.9,False
3.0,8.3,2.8,1.69,7_7,20.4,05:00,23.74596,90.41295,23.74998,90.40882,4.2,4.5,od_pair+period,1.5,-4.1,-49.4,False,1.61,-3.8,-45.8,False
3.0,6.6,2.2,1.02,7_7,20.4,05:00,23.79672,90.36535,23.80296,90.36349,6.0,4.9,od_pair_only,2.73,-0.6,-9.1,True,2.23,-1.7,-25.8,True
3.0,47.3,15.8,10.07,7_8,12.5,22:00,23.72309,90.39257,23.76237,90.44231,44.3,34.7,od_pair+period,2.8,-3.0,-6.3,True,2.2,-12.6,-26.6,True
3.0,20.2,6.7,3.82,7_7,16.9,06:15,23.75869,90.42957,23.74512,90.4178,12.6,11.2,od_pair+period,1.88,-7.6,-37.6,False,1.67,-9.0,-44.6,False
3.0,6.3,2.1,1.06,7_7,19.5,22:00,23.78235,90.36729,23.78925,90.36656,7.4,5.0,od_pair+period,3.52,1.1,17.5,True,2.38,-1.3,-20.6,True
3.0,8.4,2.8,1.29,7_7,19.5,22:00,23.74528,90.43676,23.7371,90.43336,8.0,6.0,od_pair+period,2.86,-0.4,-4.8,True,2.14,-2.4,-28.6,True
2.9,27.1,9.3,6.2,7_7,16.9,06:15,23.7702,90.40846,23.76042,90.4368,21.8,17.2,od_pair+period,2.34,-5.3,-19.6,True,1.85,-9.9,-36.5,False
2.9,6.1,2.1,1.43,7_7,19.5,22:00,23.73992,90.42749,23.7481,90.42358,5.5,4.0,od_pair+period,2.62,-0.6,-9.8,True,1.9,-2.1,-34.4,False
2.9,9.5,3.3,1.76,7_7,19.5,22:00,23.72846,90.42407,23.72295,90.4315,8.8,5.5,od_pair+period,2.67,-0.7,-7.4,True,1.67,-4.0,-42.1,False
2.9,6.6,2.3,1.24,7_7,20.4,05:00,23.79351,90.37954,23.79055,90.37561,4.1,4.4,od_pair+period,1.78,-2.5,-37.9,False,1.91,-2.2,-33.3,False
2.9,24.9,8.6,4.76,7_7,16.9,06:15,23.7702,90.40846,23.78447,90.39753,16.3,11.2,od_pair+period,1.9,-8.6,-34.5,False,1.3,-13.7,-55.0,False
2.9,11.4,4.0,2.59,7_7,16.9,06:15,23.77431,90.41207,23.77938,90.40319,7.4,6.0,od_pair+period,1.85,-4.0,-35.1,False,1.5,-5.4,-47.4,False
2.9,22.9,7.9,4.74,7_7,16.9,06:15,23.72516,90.38388,23.70404,90.39636,19.4,10.7,od_pair_only,2.46,-3.5,-15.3,True,1.35,-12.2,-53.3,False
2.9,15.4,5.4,2.96,7_7,16.9,06:15,23.81988,90.363,23.82048,90.37395,7.9,7.7,od_pair_only,1.46,-7.5,-48.7,False,1.43,-7.7,-50.0,False
2.9,27.9,9.7,4.98,7_7,16.9,06:15,23.78424,90.42963,23.8111,90.42845,16.2,12.4,od_pair+period,1.67,-11.7,-41.9,False,1.28,-15.5,-55.6,False
2.9,16.0,5.6,3.04,7_7,16.9,06:15,23.75654,90.38049,23.74603,90.37134,11.4,11.2,od_pair+period,2.04,-4.6,-28.7,True,2.0,-4.8,-30.0,True
2.9,9.6,3.4,1.15,7_7,20.4,05:00,23.7339,90.42677,23.74169,90.43104,4.5,4.3,od_pair+period,1.32,-5.1,-53.1,False,1.26,-5.3,-55.2,False
2.8,28.8,10.1,9.1,6_6,17.8,06:15,23.79939,90.28045,23.79075,90.34871,16.6,18.4,od_pair_only,1.64,-12.2,-42.4,False,1.82,-10.4,-36.1,False
2.8,6.2,2.2,1.08,7_7,19.5,22:00,23.81496,90.43584,23.8236,90.43532,7.7,5.4,od_pair+period,3.5,1.5,24.2,True,2.45,-0.8,-12.9,True
2.8,20.5,7.2,5.26,7_7,16.9,06:15,23.82148,90.38389,23.82831,90.36383,11.9,11.2,od_pair_only,1.65,-8.6,-42.0,False,1.56,-9.3,-45.4,False
2.8,24.1,8.5,5.68,7_7,16.9,06:15,23.7702,90.40846,23.76265,90.43373,16.6,11.4,od_pair+period,1.95,-7.5,-31.1,False,1.34,-12.7,-52.7,False
2.8,8.1,2.9,1.36,7_7,19.5,22:00,23.74607,90.43695,23.73736,90.43919,8.5,5.8,od_pair+period,2.93,0.4,4.9,True,2.0,-2.3,-28.4,True
2.8,7.3,2.6,1.17,7_7,20.4,05:00,23.81356,90.43123,23.81031,90.42998,4.6,4.6,od_pair+period,1.77,-2.7,-37.0,False,1.77,-2.7,-37.0,False
2.8,23.2,8.2,5.11,7_7,16.9,06:15,23.80939,90.42857,23.83144,90.42467,14.1,11.3,od_pair+period,1.72,-9.1,-39.2,False,1.38,-11.9,-51.3,False
2.8,12.2,4.3,2.23,6_7,15.0,22:00,23.75037,90.34427,23.75466,90.35212,9.3,9.0,od_pair+period,2.16,-2.9,-23.8,True,2.09,-3.2,-26.2,True
2.8,20.4,7.3,3.24,7_7,16.9,06:15,23.79187,90.37488,23.78153,90.35198,14.8,11.0,od_pair_only,2.03,-5.6,-27.5,True,1.51,-9.4,-46.1,False
2.8,8.7,3.1,1.34,7_7,19.5,22:00,23.81175,90.36111,23.8036,90.35763,8.6,6.7,od_pair+period,2.77,-0.1,-1.1,True,2.16,-2.0,-23.0,True
2.8,7.4,2.6,1.28,7_7,20.4,05:00,23.73216,90.4311,23.73736,90.43919,3.6,4.0,od_pair+period,1.38,-3.8,-51.4,False,1.54,-3.4,-45.9,False
2.8,19.9,7.1,4.9,7_7,16.9,06:15,23.82426,90.38979,23.81661,90.36705,13.4,11.1,od_pair_only,1.89,-6.5,-32.7,False,1.56,-8.8,-44.2,False
2.8,8.5,3.1,1.37,7_7,19.5,22:00,23.78468,90.36802,23.79055,90.37561,8.2,5.5,od_pair+period,2.65,-0.3,-3.5,True,1.77,-3.0,-35.3,False
